ticker,company,sector
ALL,Allstate Corporation,Financials
PRU,Prudential Financial Inc.,Financials
MET,MetLife Inc.,Financials
TRV,Travelers Companies Inc.,Financials
HIG,Hartford Financial Services Group Inc.,Financials
LHX,L3Harris Technologies Inc.,Industrials
BAH,Booz Allen Hamilton Holding Corporation,Industrials
LDOS,Leidos Holdings Inc.,Industrials
SAIC,Science Applications International Corporation,Industrials
COF,Capital One Financial Corporation,Financials
DFS,Discover Financial Services,Financials
SYF,Synchrony Financial,Financials
FITB,Fifth Third Bancorp,Financials
HBAN,Huntington Bancshares Incorporated,Financials
KEY,KeyCorp,Financials
RF,Regions Financial Corporation,Financials
MTB,M&T Bank Corporation,Financials
CFG,Citizens Financial Group Inc.,Financials
ZION,Zions Bancorporation N.A.,Financials
AMT,American Tower Corporation,Real Estate
CCI,Crown Castle Inc.,Real Estate
EQIX,Equinix Inc.,Real Estate
PSA,Public Storage,Real Estate
DLR,Digital Realty Trust Inc.,Real Estate
O,Realty Income Corporation,Real Estate
WELL,Welltower Inc.,Real Estate
SPG,Simon Property Group Inc.,Real Estate
AVB,AvalonBay Communities Inc.,Real Estate
EQR,Equity Residential,Real Estate
NEM,Newmont Corporation,Materials
ALB,Albemarle Corporation,Materials
LYB,LyondellBasell Industries N.V.,Materials
DD,DuPont de Nemours Inc.,Materials
IP,International Paper Company,Materials
VMC,Vulcan Materials Company,Materials
MLM,Martin Marietta Materials Inc.,Materials
NUE,Nucor Corporation,Materials
STLD,Steel Dynamics Inc.,Materials
CF,CF Industries Holdings Inc.,Materials
EA,Electronic Arts Inc.,Communication Services
TTWO,Take-Two Interactive Software Inc.,Communication Services
LYV,Live Nation Entertainment Inc.,Communication Services
IPG,Interpublic Group of Companies Inc.,Communication Services
OMC,Omnicom Group Inc.,Communication Services
FOXA,Fox Corporation Class A,Communication Services
FOX,Fox Corporation Class B,Communication Services
NWS,News Corporation Class B,Communication Services
NWSA,News Corporation Class A,Communication Services
PARA,Paramount Global Class B,Communication Services
WBD,Warner Bros. Discovery Inc.,Communication Services
DISH,DISH Network Corporation,Communication Services
LUMN,Lumen Technologies Inc.,Communication Services
QCOM,QUALCOMM Incorporated,Technology
WBA,Walgreens Boots Alliance Inc.,Consumer Staples
KR,Kroger Co.,Consumer Staples
SYY,Sysco Corporation,Consumer Staples
MNST,Monster Beverage Corporation,Consumer Staples
KHC,Kraft Heinz Company,Consumer Staples
CPB,Campbell Soup Company,Consumer Staples
HRL,Hormel Foods Corporation,Consumer Staples
CAG,Conagra Brands Inc.,Consumer Staples
MKC,McCormick & Company Incorporated,Consumer Staples
K,Kellanova,Consumer Staples
LW,Lamb Weston Holdings Inc.,Consumer Staples
CHD,Church & Dwight Co. Inc.,Consumer Staples
CLX,Clorox Company,Consumer Staples
CTSH,Cognizant Technology Solutions Corporation,Technology
EPAM,EPAM Systems Inc.,Technology
GDDY,GoDaddy Inc.,Technology
WEX,WEX Inc.,Technology
PAYC,Paycom Software Inc.,Technology
PCTY,Paylocity Holding Corporation,Technology
RCL,Royal Caribbean Group,Consumer Discretionary
CCL,Carnival Corporation & plc,Consumer Discretionary
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Discretionary
MAR,Marriott International Inc.,Consumer Discretionary
HLT,Hilton Worldwide Holdings Inc.,Consumer Discretionary
H,Hyatt Hotels Corporation,Consumer Discretionary
WYNN,Wynn Resorts Limited,Consumer Discretionary
MGM,MGM Resorts International,Consumer Discretionary
LVS,Las Vegas Sands Corp.,Consumer Discretionary
CZR,Caesars Entertainment Inc.,Consumer Discretionary
PHM,PulteGroup Inc.,Consumer Discretionary
DHI,D.R. Horton Inc.,Consumer Discretionary
LEN,Lennar Corporation,Consumer Discretionary
TOL,Toll Brothers Inc.,Consumer Discretionary
NVR,NVR Inc.,Consumer Discretionary
